iter	Passed	Remaining
0	6	595
1	10	529
2	15	499
3	20	485
4	25	477
5	29	467
6	34	452
7	38	444
8	42	430
9	46	417
10	51	415
11	56	411
12	60	406
13	65	401
14	69	396
15	74	392
16	79	387
17	84	383
18	88	378
19	93	373
20	98	368
21	102	364
22	107	360
23	112	356
24	117	351
25	121	346
26	126	341
27	130	336
28	135	332
29	140	328
30	145	324
31	150	319
32	155	314
33	159	309
34	164	305
35	169	300
36	173	296
37	178	291
38	183	286
39	187	281
40	192	276
41	196	272
42	201	267
43	206	262
44	211	258
45	215	253
46	220	249
47	225	244
48	230	239
49	234	234
50	239	230
51	244	225
52	249	221
53	254	216
54	258	211
55	263	207
56	268	202
57	272	197
58	277	192
59	282	188
60	286	183
61	291	178
62	296	173
63	300	169
64	305	164
65	310	159
66	314	155
67	319	150
68	324	145
69	329	141
70	333	136
71	338	131
72	343	126
73	347	122
74	352	117
75	357	112
76	361	108
77	366	103
78	371	98
79	376	94
80	381	89
81	386	84
82	390	80
83	396	75
84	401	70
85	405	66
86	410	61
87	415	56
88	419	51
89	424	47
90	429	42
91	434	37
92	439	33
93	444	28
94	448	23
95	453	18
96	458	14
97	463	9
98	468	4
99	473	0
