name,status
Crystalsol,closed
JBI Fish & Wings,operating
COINPLUS,closed
Imagine Communications,closed
DNA13,operating
Quickfire Games,operating
Sente Inc.,operating
Triosyn,operating
Urgent.ly,operating
Map Decisions,operating
Omega Discovery Solutions,closed
Axiata,closed
Tripsuit,operating
Stratics Networks Inc,operating
LTG Exam Prep Platform,operating
Littlstar,closed
Aarki,operating
Awesome Maps,operating
Stroma Medical,operating
Solasta,closed
Storeness,operating
Bizpora,closed
LMC Diabetes & Endocrinology,closed
Montage Healthcare Solutions,operating
Farrago Comics,closed
Syrinix,operating
Talkway Communications,closed
Mollejuo,operating
Cymfony,operating
MIT Energy Initiative,operating
Lucent Health Solutions,closed
thesweetlink,closed
Boston Technologies,closed
Wavii,operating
"Dots ,LLC",closed
Xetawave,operating
Dental Corp,operating
Expway,closed
Avenger Networks,operating
Ginio.com,operating
Skyrobotic,operating
Sijibang.com,operating
Calolo,closed
Taggify,closed
Forterra Systems,operating
Get Satisfaction,operating
Mtone Wireless,operating
EZChip,closed
BioBots,closed
Adamant Energy,closed
Bunch,closed
Enevate,operating
GroundMetrics,operating
GammaSite,operating
MashON,closed
Native Networks,operating
Lucky Oyster,operating
The Backscratchers,closed
Eurekite,operating
Pundit Arena,closed
DashLuxe,closed
Festicket,operating
EAP Technology Systems,closed
siXis,closed
GoldSpot Media,operating
E la Carte,operating
Superior Global Solutions,closed
Nowsta,operating
Voalte,operating
icomasoft,operating
BTCjam,operating
Pangaea Resources,closed
BlogCN,closed
Diffinity Genomics,operating
KidStart,closed
DUFL,operating
IDRI (Infectious Disease Research Institute),closed
Splurgy,operating
beenz.com,operating
REVA Medical,closed
Indie Broadcast Network,closed
Accurence,closed
Minka,operating
Com2uS Corp.,operating
DYNAGENT SOFTWARE SL,closed
AWP Energy,operating
Xactly Corp,operating
FreshMonk,operating
Bandura,operating
alooma,operating
Xterprise Solutions,operating
Velomedix,operating
Hecare,closed
ParinGenix,closed
Chamelic,closed
Slipstream,operating
Peak 10,closed
Theatro,closed
BurstPoint Networks,closed
StepOne,operating
Metaome,operating
Astrobotic Technology,operating
FANCY CELLAR - 品庄酒,closed
Monitoring Division,closed
DataMotion,closed
Gumhouse,operating
Nookster,operating
Magzter,operating
Capital Esquire,operating
Mantis Deposition,operating
Immy,closed
Analyze,operating
Parodys Entertainment,operating
SynapticMash,closed
50 Partners,operating
GoAlbert,closed
Imitix,operating
TOBESOFT,operating
SoSocio,closed
Chicken Out Rotisserie,closed
Acacia Research,closed
OSG Records Management,closed
World Class Driving,operating
PocketMarket,operating
Connectbeam,operating
NA-KD.com - The next generation fashion marketplace,operating
My Study Rewards,operating
Cerevast Therapeutics,closed
Shoplins,operating
kibow,operating
Amatra SmartSource,closed
Apokalyyis,closed
HeartWare International,closed
Jobaline,closed
Searchwords Pty Ltd,operating
Scholar Rock,operating
Beyond the Box,closed
Silentium,closed
SYLOB,closed
Accedian Networks,operating
Emerging Threats,operating
Pulse Aerospace,operating
Alta Rail Technology,operating
Habitissimo,operating
Yaoota.com,operating
CloudDesk,closed
Bringhub,operating
Nimbus Concepts,closed
TalentIQ,closed
Square Yards,closed
RecordSled,closed
SP3H,closed
Zjdg.cn,closed
Graftec Electronics,closed
SymbioCellTech,closed
Royal Treatment Fly Fishing,closed
Love Warrior Wellness Collective,operating
Naubo,closed
Scripted.com,operating
mParticle,closed
Manitex International,operating
Genetics Squared,closed
SafeView,closed
Spinal USA,closed
Fondeadora,closed
The Preferred Prepaid,closed
"Nanovis, Inc.",operating
Royal Klasse Autos,closed
Wipebook,closed
AMT,closed
Pinrose,operating
GranData,operating
CommunitySift,operating
Longxun Changtian Technology,closed
SageFire,closed
NowPublic,closed
Antavo,operating
CloudCrowd,operating
ioBridge,closed
CDx Life,closed
sentitO Networks,operating
Stage 32,closed
Shopwings,closed
BiggiFi,closed
Onstream Media,operating
BoostSuite,operating
Desafío Táctico,closed
HERCAMOSHOP,closed
Offset Options,closed
Sharelook,closed
utoopia,operating
VGTI Florida,closed
AdmitHub,operating
BiometryCloud,closed
Arisoko,operating
"Woodenshark, LLC",closed
gShift,closed
Sojern,operating
Food Reporter,operating
Inocucor Technologies,operating
BuyMyTronics.com,closed
Free For Kids,operating
Quantum Group,closed
Brandsclub,operating
Nanya Technology Corporation,operating
Psydex,closed
Cubeit,operating
Ahometo,closed
CollabNet,operating
Cebix,operating
Hampton Creek,closed
uma information technology,operating
Househappy,closed
Chexology,closed
Qwiqq,closed
Eventus Systems,operating
Baton Rouge Homes,closed
Startupeando,closed
Sandy Bottom Drink,closed
Smart Load Solutions,closed
AppTweak.com,operating
MineralRightsWorldwide.com,operating
Compufirst,operating
ZAPITANO,operating
mobilePeople,operating
TeskaLabs,closed
Plenummedia,operating
GearTranslations,closed
Sunamp,closed
Netccm,closed
Cyrano Sciences,operating
Nemo,closed
UltraWood Products Company,operating
Verve Rehab,closed
Cookunity,closed
Vobile,operating
Profitably,operating
Rubysophic,closed
FireLayers,operating
NanoSteel,operating
Ge.tt,operating
Olygose,closed
Wantr,operating
Polyera,operating
Xquva,operating
HIPVILLA,closed
ShareRoot,closed
Mobile Pulse,closed
SKY MobileMedia,closed
make.tv,operating
Crude Area,operating
whodoyou,closed
ETI International,closed
PacketZoom,operating
Beer52,operating
Embrace Innovations,closed
Ripple TV,operating
Credit Sesame,closed
Open CS,closed
Jumpshot,operating
Athlete IQ,closed
NanoBio,closed
Carro,operating
Bizongo,closed
KnowledgeVision,operating
Camaloon,closed
Eyetel Imaging,closed
Little Riot,operating
Axceler,closed
Serenify,operating
Tailored Republic,closed
Epylon,closed
DOZ,closed
Skai,operating
Zapproved,operating
"BLUERIDGE Analytics, Inc.",closed
FreeStride Therapeutics,closed
Orderbook,operating
Guesthouse Network,closed
Smooch Labs Inc.,operating
Telesta Therapeutics,operating
FOREVERVOGUE.COM,operating
Target Business Capital,closed
Verticly,closed
Angaza,closed
AgilOne,closed
Centice,closed
SHEEX,operating
USMD,operating
Taia Global,closed
Action Audio Apps,operating
Silver Fox Events,operating
Respirics,closed
Semantics3,operating
M Squared Lasers,operating
neoSurgical,operating
Dishable,closed
Everest,operating
Bixti.com,operating
RAZ Mobile,closed
